Experiment CUSExperiment_Hetero
Sweep across services proximity importance, using heterogeneous agents..
Experiment started 2015-04-21 174913

######################################################
Experiment Defaults:
                        setHeterogeneity :,  	True
Experiment Parameter Variations:
                            setAgentType :,  	[0, 1, 2]
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 180337, 7,                    0,   1.2000000000000002,0.8099,0.1638
 2015-04-21 180342, 7,                    0,   1.2000000000000002,0.7985,0.1638
 2015-04-21 180348, 7,                    0,   1.2000000000000002,0.8101,0.1643
 2015-04-21 180353, 7,                    0,   1.2000000000000002,0.8052,0.1664
 2015-04-21 180357, 7,                    0,   1.2000000000000002,0.7861,0.1665
 2015-04-21 180401, 7,                    0,   1.2000000000000002,0.7827,0.1632
 2015-04-21 180406, 7,                    0,   1.2000000000000002,0.7351,0.1699
 2015-04-21 180410, 7,                    0,   1.2000000000000002,0.7787,0.1651
 2015-04-21 180415, 7,                    0,   1.2000000000000002,0.8116,0.1656
 2015-04-21 180419, 7,                    0,   1.2000000000000002,0.8233,0.1634
 2015-04-21 180424, 7,                    0,   1.2000000000000002,0.8084,0.1629
 2015-04-21 180428, 7,                    0,   1.2000000000000002,0.8084,0.1653
 2015-04-21 180433, 7,                    0,   1.2000000000000002,0.8131,0.1674
 2015-04-21 180437, 7,                    0,   1.2000000000000002,0.8092,0.1611
 2015-04-21 180442, 7,                    0,   1.2000000000000002,0.8042,0.1628
 2015-04-21 180446, 7,                    0,   1.2000000000000002,0.8151,0.1640
 2015-04-21 180450, 7,                    0,   1.2000000000000002,0.7926,0.1686
 2015-04-21 180455, 7,                    0,   1.2000000000000002,0.7918,0.1650
 2015-04-21 180459, 7,                    0,   1.2000000000000002,0.8166,0.1667
 2015-04-21 180504, 7,                    0,   1.2000000000000002,0.7980,0.1652
 2015-04-21 180508, 7,                    0,   1.2000000000000002,0.7918,0.1704
averages: ,,                    0,   1.2000000000000002,0.7990,0.1652
standard deviations: ,,                    0,   1.2000000000000002,0.0158,0.0023
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,1.4000000000000001
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 180513, 8,                    0,   1.4000000000000001,0.8381,0.1594
 2015-04-21 180518, 8,                    0,   1.4000000000000001,0.8146,0.1598
 2015-04-21 180522, 8,                    0,   1.4000000000000001,0.8384,0.1601
 2015-04-21 180527, 8,                    0,   1.4000000000000001,0.8354,0.1614
 2015-04-21 180531, 8,                    0,   1.4000000000000001,0.8290,0.1585
 2015-04-21 180536, 8,                    0,   1.4000000000000001,0.8500,0.1562
 2015-04-21 180540, 8,                    0,   1.4000000000000001,0.8399,0.1619
 2015-04-21 180546, 8,                    0,   1.4000000000000001,0.8356,0.1580
 2015-04-21 180550, 8,                    0,   1.4000000000000001,0.8413,0.1590
 2015-04-21 180555, 8,                    0,   1.4000000000000001,0.8052,0.1617
 2015-04-21 180559, 8,                    0,   1.4000000000000001,0.8248,0.1634
 2015-04-21 180604, 8,                    0,   1.4000000000000001,0.8478,0.1605
 2015-04-21 180610, 8,                    0,   1.4000000000000001,0.8332,0.1612
 2015-04-21 180615, 8,                    0,   1.4000000000000001,0.8050,0.1626
 2015-04-21 180619, 8,                    0,   1.4000000000000001,0.8297,0.1609
 2015-04-21 180623, 8,                    0,   1.4000000000000001,0.8334,0.1586
 2015-04-21 180628, 8,                    0,   1.4000000000000001,0.8396,0.1581
 2015-04-21 180632, 8,                    0,   1.4000000000000001,0.8287,0.1637
 2015-04-21 180638, 8,                    0,   1.4000000000000001,0.8379,0.1614
 2015-04-21 180643, 8,                    0,   1.4000000000000001,0.8285,0.1597
 2015-04-21 180647, 8,                    0,   1.4000000000000001,0.8359,0.1621
 2015-04-21 180652, 8,                    0,   1.4000000000000001,0.8304,0.1616
 2015-04-21 180657, 8,                    0,   1.4000000000000001,0.8262,0.1584
 2015-04-21 180702, 8,                    0,   1.4000000000000001,0.8304,0.1601
 2015-04-21 180706, 8,                    0,   1.4000000000000001,0.8431,0.1565
 2015-04-21 180711, 8,                    0,   1.4000000000000001,0.8295,0.1650
 2015-04-21 180716, 8,                    0,   1.4000000000000001,0.8587,0.1607
 2015-04-21 180720, 8,                    0,   1.4000000000000001,0.8327,0.1573
 2015-04-21 180725, 8,                    0,   1.4000000000000001,0.8438,0.1607
 2015-04-21 180729, 8,                    0,   1.4000000000000001,0.8205,0.1594
averages: ,,                    0,   1.4000000000000001,0.8329,0.1603
standard deviations: ,,                    0,   1.4000000000000001,0.0114,0.0020
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,1.6
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 180734, 9,                    0,                  1.6,0.8572,0.1573
 2015-04-21 180738, 9,                    0,                  1.6,0.8673,0.1567
 2015-04-21 180743, 9,                    0,                  1.6,0.8488,0.1612
 2015-04-21 180747, 9,                    0,                  1.6,0.8460,0.1562
 2015-04-21 180752, 9,                    0,                  1.6,0.8644,0.1579
 2015-04-21 180756, 9,                    0,                  1.6,0.8525,0.1564
 2015-04-21 180801, 9,                    0,                  1.6,0.8540,0.1578
 2015-04-21 180806, 9,                    0,                  1.6,0.8498,0.1591
 2015-04-21 180810, 9,                    0,                  1.6,0.8639,0.1616
 2015-04-21 180814, 9,                    0,                  1.6,0.8545,0.1588
 2015-04-21 180819, 9,                    0,                  1.6,0.8757,0.1509
 2015-04-21 180823, 9,                    0,                  1.6,0.8629,0.1574
 2015-04-21 180828, 9,                    0,                  1.6,0.8715,0.1542
 2015-04-21 180832, 9,                    0,                  1.6,0.8547,0.1572
 2015-04-21 180837, 9,                    0,                  1.6,0.8428,0.1611
 2015-04-21 180841, 9,                    0,                  1.6,0.8621,0.1566
 2015-04-21 180846, 9,                    0,                  1.6,0.8752,0.1583
 2015-04-21 180851, 9,                    0,                  1.6,0.8589,0.1585
 2015-04-21 180855, 9,                    0,                  1.6,0.8488,0.1543
 2015-04-21 180900, 9,                    0,                  1.6,0.8507,0.1530
 2015-04-21 180904, 9,                    0,                  1.6,0.8577,0.1603
 2015-04-21 180910, 9,                    0,                  1.6,0.8478,0.1563
 2015-04-21 180915, 9,                    0,                  1.6,0.8614,0.1551
 2015-04-21 180919, 9,                    0,                  1.6,0.8552,0.1540
 2015-04-21 180924, 9,                    0,                  1.6,0.8666,0.1575
 2015-04-21 180928, 9,                    0,                  1.6,0.8522,0.1597
 2015-04-21 180933, 9,                    0,                  1.6,0.8668,0.1559
 2015-04-21 180937, 9,                    0,                  1.6,0.8832,0.1567
 2015-04-21 180942, 9,                    0,                  1.6,0.8604,0.1619
 2015-04-21 180947, 9,                    0,                  1.6,0.8599,0.1587
averages: ,,                    0,                  1.6,0.8591,0.1574
standard deviations: ,,                    0,                  1.6,0.0094,0.0025
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,1.8
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 180952, 10,                    0,                  1.8,0.8710,0.1561
 2015-04-21 180956, 10,                    0,                  1.8,0.8666,0.1590
 2015-04-21 181001, 10,                    0,                  1.8,0.8564,0.1558
 2015-04-21 181007, 10,                    0,                  1.8,0.8723,0.1587
 2015-04-21 181011, 10,                    0,                  1.8,0.8626,0.1553
 2015-04-21 181016, 10,                    0,                  1.8,0.8611,0.1588
 2015-04-21 181020, 10,                    0,                  1.8,0.8661,0.1578
 2015-04-21 181025, 10,                    0,                  1.8,0.8651,0.1543
 2015-04-21 181029, 10,                    0,                  1.8,0.8663,0.1531
 2015-04-21 181034, 10,                    0,                  1.8,0.8641,0.1547
 2015-04-21 181039, 10,                    0,                  1.8,0.8567,0.1573
