Experiment CUSExperiment_Main
Sweep across services proximity importance.
Experiment started 2015-04-20 022217

######################################################
Experiment Defaults:
                        setHeterogeneity :,  	False
Experiment Parameter Variations:
                            setAgentType :,  	[0, 1]
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 023211, 5,                    0,                  0.8,0.7993,0.1651
 2015-04-20 023215, 5,                    0,                  0.8,0.7844,0.1669
 2015-04-20 023220, 5,                    0,                  0.8,0.7574,0.1694
 2015-04-20 023224, 5,                    0,                  0.8,0.7822,0.1654
 2015-04-20 023228, 5,                    0,                  0.8,0.7918,0.1648
 2015-04-20 023233, 5,                    0,                  0.8,0.7856,0.1648
 2015-04-20 023237, 5,                    0,                  0.8,0.7960,0.1699
 2015-04-20 023242, 5,                    0,                  0.8,0.8059,0.1638
 2015-04-20 023246, 5,                    0,                  0.8,0.7780,0.1612
 2015-04-20 023250, 5,                    0,                  0.8,0.7921,0.1660
 2015-04-20 023255, 5,                    0,                  0.8,0.7804,0.1684
 2015-04-20 023259, 5,                    0,                  0.8,0.8027,0.1692
 2015-04-20 023303, 5,                    0,                  0.8,0.7975,0.1621
 2015-04-20 023308, 5,                    0,                  0.8,0.7777,0.1677
averages: ,,                    0,                  0.8,0.7901,0.1656
standard deviations: ,,                    0,                  0.8,0.0131,0.0025
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,1.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 023312, 6,                    0,                  1.0,0.8285,0.1618
 2015-04-20 023317, 6,                    0,                  1.0,0.8314,0.1599
 2015-04-20 023321, 6,                    0,                  1.0,0.8369,0.1586
 2015-04-20 023325, 6,                    0,                  1.0,0.8406,0.1605
 2015-04-20 023330, 6,                    0,                  1.0,0.8334,0.1594
 2015-04-20 023334, 6,                    0,                  1.0,0.8337,0.1600
 2015-04-20 023339, 6,                    0,                  1.0,0.8304,0.1647
 2015-04-20 023343, 6,                    0,                  1.0,0.8287,0.1623
 2015-04-20 023347, 6,                    0,                  1.0,0.8453,0.1581
 2015-04-20 023352, 6,                    0,                  1.0,0.8344,0.1595
 2015-04-20 023356, 6,                    0,                  1.0,0.8527,0.1576
 2015-04-20 023400, 6,                    0,                  1.0,0.8399,0.1531
 2015-04-20 023405, 6,                    0,                  1.0,0.8337,0.1613
 2015-04-20 023409, 6,                    0,                  1.0,0.8267,0.1596
 2015-04-20 023414, 6,                    0,                  1.0,0.8468,0.1566
 2015-04-20 023418, 6,                    0,                  1.0,0.8401,0.1606
 2015-04-20 023423, 6,                    0,                  1.0,0.8349,0.1640
 2015-04-20 023427, 6,                    0,                  1.0,0.8302,0.1616
 2015-04-20 023432, 6,                    0,                  1.0,0.8171,0.1618
 2015-04-20 023436, 6,                    0,                  1.0,0.8446,0.1594
 2015-04-20 023440, 6,                    0,                  1.0,0.8342,0.1584
 2015-04-20 023445, 6,                    0,                  1.0,0.8297,0.1589
 2015-04-20 023449, 6,                    0,                  1.0,0.8356,0.1620
 2015-04-20 023454, 6,                    0,                  1.0,0.8527,0.1545
 2015-04-20 023458, 6,                    0,                  1.0,0.8168,0.1634
 2015-04-20 023503, 6,                    0,                  1.0,0.8337,0.1552
 2015-04-20 023507, 6,                    0,                  1.0,0.8287,0.1611
 2015-04-20 023512, 6,                    0,                  1.0,0.8389,0.1614
 2015-04-20 023516, 6,                    0,                  1.0,0.8295,0.1615
 2015-04-20 023520, 6,                    0,                  1.0,0.8339,0.1618
averages: ,,                    0,                  1.0,0.8348,0.1600
standard deviations: ,,                    0,                  1.0,0.0082,0.0026
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,1.2000000000000002
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 023525, 7,                    0,   1.2000000000000002,0.8649,0.1559
 2015-04-20 023529, 7,                    0,   1.2000000000000002,0.8668,0.1531
 2015-04-20 023534, 7,                    0,   1.2000000000000002,0.8752,0.1564
 2015-04-20 023538, 7,                    0,   1.2000000000000002,0.8827,0.1539
 2015-04-20 023542, 7,                    0,   1.2000000000000002,0.8614,0.1590
 2015-04-20 023547, 7,                    0,   1.2000000000000002,0.8777,0.1613
 2015-04-20 023551, 7,                    0,   1.2000000000000002,0.8725,0.1568
 2015-04-20 023556, 7,                    0,   1.2000000000000002,0.8567,0.1531
 2015-04-20 023600, 7,                    0,   1.2000000000000002,0.8619,0.1605
 2015-04-20 023605, 7,                    0,   1.2000000000000002,0.8569,0.1555
 2015-04-20 023609, 7,                    0,   1.2000000000000002,0.8458,0.1571
 2015-04-20 023613, 7,                    0,   1.2000000000000002,0.8666,0.1553
 2015-04-20 023618, 7,                    0,   1.2000000000000002,0.8725,0.1568
 2015-04-20 023622, 7,                    0,   1.2000000000000002,0.8611,0.1570
 2015-04-20 023627, 7,                    0,   1.2000000000000002,0.8725,0.1563
 2015-04-20 023631, 7,                    0,   1.2000000000000002,0.8787,0.1561
 2015-04-20 023636, 7,                    0,   1.2000000000000002,0.8696,0.1588
 2015-04-20 023640, 7,                    0,   1.2000000000000002,0.8713,0.1544
 2015-04-20 023644, 7,                    0,   1.2000000000000002,0.8478,0.1596
 2015-04-20 023649, 7,                    0,   1.2000000000000002,0.8691,0.1518
 2015-04-20 023653, 7,                    0,   1.2000000000000002,0.8748,0.1573
 2015-04-20 023658, 7,                    0,   1.2000000000000002,0.8639,0.1528
 2015-04-20 023702, 7,                    0,   1.2000000000000002,0.8564,0.1595
 2015-04-20 023706, 7,                    0,   1.2000000000000002,0.8663,0.1542
 2015-04-20 023711, 7,                    0,   1.2000000000000002,0.8438,0.1614
 2015-04-20 023715, 7,                    0,   1.2000000000000002,0.8696,0.1579
 2015-04-20 023720, 7,                    0,   1.2000000000000002,0.8624,0.1572
 2015-04-20 023724, 7,                    0,   1.2000000000000002,0.8599,0.1636
 2015-04-20 023728, 7,                    0,   1.2000000000000002,0.8631,0.1566
 2015-04-20 023733, 7,                    0,   1.2000000000000002,0.8678,0.1559
averages: ,,                    0,   1.2000000000000002,0.8653,0.1568
standard deviations: ,,                    0,   1.2000000000000002,0.0092,0.0027
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,1.4000000000000001
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 023737, 8,                    0,   1.4000000000000001,0.8859,0.1565
 2015-04-20 023742, 8,                    0,   1.4000000000000001,0.8735,0.1527
 2015-04-20 023746, 8,                    0,   1.4000000000000001,0.8757,0.1557
 2015-04-20 023750, 8,                    0,   1.4000000000000001,0.8891,0.1536
 2015-04-20 023755, 8,                    0,   1.4000000000000001,0.8725,0.1541
 2015-04-20 023759, 8,                    0,   1.4000000000000001,0.8782,0.1537
 2015-04-20 023804, 8,                    0,   1.4000000000000001,0.8720,0.1587
 2015-04-20 023808, 8,                    0,   1.4000000000000001,0.8728,0.1563
 2015-04-20 023812, 8,                    0,   1.4000000000000001,0.8807,0.1519
 2015-04-20 023817, 8,                    0,   1.4000000000000001,0.8931,0.1596
 2015-04-20 023821, 8,                    0,   1.4000000000000001,0.8639,0.1558
 2015-04-20 023825, 8,                    0,   1.4000000000000001,0.8812,0.1537
 2015-04-20 023830, 8,                    0,   1.4000000000000001,0.8837,0.1588
 2015-04-20 023834, 8,                    0,   1.4000000000000001,0.8676,0.1578
 2015-04-20 023838, 8,                    0,   1.4000000000000001,0.8800,0.1536
 2015-04-20 023843, 8,                    0,   1.4000000000000001,0.8748,0.1556
 2015-04-20 023847, 8,                    0,   1.4000000000000001,0.8842,0.1550
 2015-04-20 023852, 8,                    0,   1.4000000000000001,0.8678,0.1543
 2015-04-20 023856, 8,                    0,   1.4000000000000001,0.8708,0.1567
 2015-04-20 023900, 8,                    0,   1.4000000000000001,0.8837,0.1531
 2015-04-20 023905, 8,                    0,   1.4000000000000001,0.8809,0.1549
 2015-04-20 023909, 8,                    0,   1.4000000000000001,0.8809,0.1542
 2015-04-20 023914, 8,                    0,   1.4000000000000001,0.8807,0.1566
 2015-04-20 023919, 8,                    0,   1.4000000000000001,0.8639,0.1602
 2015-04-20 023923, 8,                    0,   1.4000000000000001,0.8916,0.1581
 2015-04-20 023928, 8,                    0,   1.4000000000000001,0.8728,0.1572
 2015-04-20 023932, 8,                    0,   1.4000000000000001,0.8819,0.1536
 2015-04-20 023937, 8,                    0,   1.4000000000000001,0.8757,0.1524
 2015-04-20 023941, 8,                    0,   1.4000000000000001,0.8785,0.1523
 2015-04-20 023945, 8,                    0,   1.4000000000000001,0.8931,0.1484
averages: ,,                    0,   1.4000000000000001,0.8784,0.1552
standard deviations: ,,                    0,   1.4000000000000001,0.0078,0.0026
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,1.6
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 023950, 9,                    0,                  1.6,0.9012,0.1540
 2015-04-20 023954, 9,                    0,                  1.6,0.8894,0.1568
 2015-04-20 023959, 9,                    0,                  1.6,0.8881,0.1515
 2015-04-20 024003, 9,                    0,                  1.6,0.9032,0.1531
 2015-04-20 024007, 9,                    0,                  1.6,0.8832,0.1541
 2015-04-20 024012, 9,                    0,                  1.6,0.8963,0.1575
 2015-04-20 024017, 9,                    0,                  1.6,0.8894,0.1548
 2015-04-20 024021, 9,                    0,                  1.6,0.8681,0.1553
 2015-04-20 024025, 9,                    0,                  1.6,0.8819,0.1556
 2015-04-20 024030, 9,                    0,                  1.6,0.8822,0.1541
 2015-04-20 024034, 9,                    0,                  1.6,0.8884,0.1566
 2015-04-20 024038, 9,                    0,                  1.6,0.9089,0.1558
 2015-04-20 024043, 9,                    0,                  1.6,0.8795,0.1545
 2015-04-20 024047, 9,                    0,                  1.6,0.8901,0.1491
 2015-04-20 024051, 9,                    0,                  1.6,0.8881,0.1489
 2015-04-20 024056, 9,                    0,                  1.6,0.9045,0.1514
 2015-04-20 024100, 9,                    0,                  1.6,0.8777,0.1485
 2015-04-20 024105, 9,                    0,                  1.6,0.8777,0.1540
 2015-04-20 024109, 9,                    0,                  1.6,0.8970,0.1534
 2015-04-20 024113, 9,                    0,                  1.6,0.8896,0.1553
 2015-04-20 024118, 9,                    0,                  1.6,0.8993,0.1514
 2015-04-20 024122, 9,                    0,                  1.6,0.8864,0.1528
 2015-04-20 024126, 9,                    0,                  1.6,0.8968,0.1584
 2015-04-20 024131, 9,                    0,                  1.6,0.9035,0.1495
 2015-04-20 024135, 9,                    0,                  1.6,0.8958,0.1532
 2015-04-20 024140, 9,                    0,                  1.6,0.8849,0.1575
 2015-04-20 024144, 9,                    0,                  1.6,0.8978,0.1587
 2015-04-20 024148, 9,                    0,                  1.6,0.8804,0.1555
